name,latitude,longitude,type,color
Bad Arolsen,51.3816043,9.0147661,211,4990E2
Kassel-Fünffenster-Str.,51.3119269,9.4914725,141,4990E2
Zierenberg,51.3707807,9.297837206,20,4990E2
Wasserkuppe,50.497647,9.9362893,22,4990E2
Kleiner Feldberg,50.221859,8.4467017,53,4990E2
Fulda-Petersberger Str.,50.5529077,9.699501,34,4990E2
Kellerwald,51.38712845,7.006753969,15,4990E2
Gießen-Westanlage,50.5849413,8.6677735,108,4990E2
Marburg Universitätsstraße,50.8067802,8.7668791,14,4990E2
Heppenheim-Lehrstraße,49.6432303,8.6412178,4,4990E2
Wiesbaden-Schiersteiner Str.,50.0697412,8.2263601,20,4990E2
Offenbach-Untere Grenzstraße,50.104447,8.783848,50,4990E2
Limburg-Schiede,50.39033,8.0604741,86,4990E2
Hamburg Sternschanze,53.5617679,9.9632822,4,4990E2
Hamburg Veddel,53.5236424,10.0235043,69,4990E2
Hamburg Billbrook,53.5275068,10.0867824,99,4990E2
Hamburg Stresemannstraße,53.5634469,9.9311746,92,4990E2
Hamburg Flughafen Nord,53.6394545,10.0166903,89,4990E2
Hamburg Bramfeld,53.616809,10.0790012,61,4990E2
Hamburg Neugraben,53.469968,9.8570184,87,4990E2
Hamburg Wilhelmsburg,53.4960121,9.9975409,69,4990E2
Hamburg Kieler Straße,54.0939471,9.9881052,55,4990E2
Hamburg Habichtstraße,53.5885127,10.0620245,106,4990E2
Hamburg Max-Brauer-Allee II (Straße),53.5530006,9.9378495,69,4990E2
Hamburg Finkenwerder West,53.5332,9.845283,35,4990E2
Hamburg Finkenwerder Airbus,53.5377067,9.8470416,84,4990E2
Hamburg Altona Elbhang,53.547644,9.911888,43,4990E2
Hamburg Hafen,53.429666,10.3596461,66,4990E2
Neubrandenburg,53.5574458,13.2602781,133,4990E2
Gülzow,53.4418789,10.4904128,207,4990E2
Rostock-Stuthof,54.1663232,12.1724613,129,4990E2
Löcknitz,53.4518623,14.2169635,62,4990E2
Göhlen,53.3060467,11.3682687,70,4990E2
Güstrow,53.7936523,12.1759661,75,4990E2
Rostock Am Strande,54.0924066,12.1376977,46,4990E2
Rostock-Warnemünde,54.1779039,12.0812875,11,4990E2
Rostock-Holbeinplatz,54.0935102,12.0993771,23,4990E2
