date	close
01-06-2016	46
02-06-2016	83
03-06-2016	61
04-06-2016	74
05-06-2016	44
06-06-2016	24
07-06-2016	98
08-06-2016	93
09-06-2016	29
10-06-2016	18
11-06-2016	27
12-06-2016	18
13-06-2016	45
14-06-2016	38
15-06-2016	48
16-06-2016	38
17-06-2016	41
18-06-2016	32
19-06-2016	51
20-06-2016	35
21-06-2016	71
22-06-2016	84
23-06-2016	69
24-06-2016	44
25-06-2016	21
26-06-2016	27
27-06-2016	51
28-06-2016	44
29-06-2016	53
30-06-2016	66
01-07-2016	54
02-07-2016	19
03-07-2016	21
04-07-2016	78
05-07-2016	48
06-07-2016	11
07-07-2016	63
08-07-2016	54
09-07-2016	28
10-07-2016	48
11-07-2016	37
12-07-2016	33
13-07-2016	40
14-07-2016	30
15-07-2016	19
16-07-2016	21
17-07-2016	18
18-07-2016	27
19-07-2016	67
20-07-2016	67
21-07-2016	58
22-07-2016	53
23-07-2016	23
24-07-2016	24
25-07-2016	74
26-07-2016	32
27-07-2016	37
28-07-2016	59
29-07-2016	45
30-07-2016	24
31-07-2016	37
01-08-2016	26
02-08-2016	40
03-08-2016	31
04-08-2016	34
05-08-2016	39
06-08-2016	13
07-08-2016	61
08-08-2016	47
09-08-2016	18
10-08-2016	24
11-08-2016	32
12-08-2016	21
13-08-2016	15
14-08-2016	16
15-08-2016	38
16-08-2016	46
17-08-2016	69
18-08-2016	62
19-08-2016	52
20-08-2016	36
21-08-2016	57
22-08-2016	35
23-08-2016	67
24-08-2016	53
25-08-2016	39
26-08-2016	59
27-08-2016	62
28-08-2016	96
29-08-2016	22
30-08-2016	95
31-08-2016	71
01-09-2016	86
02-09-2016	126
03-09-2016	66
04-09-2016	48
05-09-2016	27
06-09-2016	83
07-09-2016	64
08-09-2016	109
09-09-2016	75
10-09-2016	45
11-09-2016	33
12-09-2016	63
13-09-2016	68
14-09-2016	42
15-09-2016	51
16-09-2016	62
17-09-2016	29
18-09-2016	22
19-09-2016	28
20-09-2016	63
21-09-2016	53
22-09-2016	106
23-09-2016	80
24-09-2016	86
25-09-2016	46
26-09-2016	99
27-09-2016	112
28-09-2016	38
29-09-2016	39
30-09-2016	41
01-10-2016	39
02-10-2016	63
03-10-2016	31
04-10-2016	21
05-10-2016	33
06-10-2016	28
07-10-2016	27
08-10-2016	22
09-10-2016	38
10-10-2016	48
11-10-2016	40
12-10-2016	25
13-10-2016	28
14-10-2016	31
15-10-2016	34
16-10-2016	22
17-10-2016	35
18-10-2016	36
19-10-2016	53
20-10-2016	51
21-10-2016	38
22-10-2016	42
23-10-2016	40
24-10-2016	39
25-10-2016	43
26-10-2016	45
27-10-2016	45
28-10-2016	38
29-10-2016	26
30-10-2016	62
31-10-2016	61
01-11-2016	37
02-11-2016	38
03-11-2016	72
04-11-2016	51
05-11-2016	45
06-11-2016	47
07-11-2016	36
08-11-2016	40
09-11-2016	55
10-11-2016	43
11-11-2016	55
12-11-2016	52
13-11-2016	70
14-11-2016	73
15-11-2016	41
16-11-2016	43
17-11-2016	47
18-11-2016	48
19-11-2016	54
20-11-2016	29
21-11-2016	51
22-11-2016	63
23-11-2016	53
24-11-2016	54
25-11-2016	64
26-11-2016	51
27-11-2016	26
28-11-2016	58
29-11-2016	61
30-11-2016	46
01-12-2016	27
02-12-2016	45
03-12-2016	62
04-12-2016	58
05-12-2016	56
06-12-2016	58
07-12-2016	55
08-12-2016	61
09-12-2016	48
10-12-2016	45
11-12-2016	24
12-12-2016	87
13-12-2016	58
14-12-2016	62
15-12-2016	49
16-12-2016	67
17-12-2016	45
18-12-2016	51
19-12-2016	48
20-12-2016	38
21-12-2016	43
22-12-2016	49
23-12-2016	49
24-12-2016	33
25-12-2016	13
26-12-2016	14
27-12-2016	36
28-12-2016	41
29-12-2016	71
30-12-2016	47
31-12-2016	48
